NMFS_DNA_ID,BOX_ID,BOX_POSITION,PLATE,PLATE_POS,Sort,SAMPLE_ID,ANALYSIS_ID,BATCH_ID,PROJECT_NAME,GENUS,SPECIES,LENGTH,WEIGHT,SEX,AGE,REPORTED_LIFE_STAGE,PHENOTYPE,HATCHERY_MARK,TAG_NUMBER,COLLECTION_DATE,ESTIMATED_DATE,PICKER,PICK_DATE,LEFTOVER_SAMPLE,SAMPLE_COMMENTS,NMFS_DNA_ID,STATE_F,COUNTY_F,WATERSHED,TRIB_1,TRIB_2,WATER_NAME,REACH_SITE,LATITUDE_F,LONGITUDE_F,HATCHERY,STRAIN,LOCATION_COMMENTS_F
T027505,T290,3C,TGV,3C,27,S060119FRH,FRHsp_18,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,818,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,"AD: N, Note: 103, Race: Spring",T027505,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027506,T290,3D,TGV,3D,39,S060120FRH,FRHsp_19,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,838,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,"AD: N, Note: 103, Race: Spring",T027506,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027507,T290,3E,TGV,3E,51,S060121FRH,FRHsp_20,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,839,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,"AD: N, Note: 103, Race: Spring",T027507,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027508,T290,3F,TGV,3F,63,S060122FRH,FRHsp_21,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,730,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,"AD: N, Note: 103, Race: Spring",T027508,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027509,T290,3G,TGV,3G,75,S060123FRH,FRHsp_22,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,701,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,"AD: N, Note: 103, Race: Spring",T027509,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027510,T290,3H,TGV,3H,87,S060124FRH,FRHsp_23,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,827,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,"AD: N, Note: 103, Race: Spring",T027510,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027511,T290,4A,TGV,4A,4,S060125FRH,FRHsp_24,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,903,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,"AD: N, Note: 103, Race: Spring",T027511,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027512,T290,4B,TGV,4B,16,S060126FRH,FRHsp_25,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,724,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,"AD: N, Note: 103, Race: Spring",T027512,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027513,T290,4C,TGV,4C,28,S060127FRH,FRHsp_26,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,854,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,"AD: N, Note: 103, Race: Spring",T027513,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027514,T290,4D,TGV,4D,40,S060128FRH,FRHsp_27,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,794,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,"AD: N, Note: 103, Race: Spring",T027514,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027515,T290,4E,TGV,4E,52,S060129FRH,FRHsp_28,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,701,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,"AD: N, Note: 103, Race: Spring",T027515,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027516,T290,4F,TGV,4F,64,S060130FRH,FRHsp_29,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,1025,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,"AD: N, Note: 103, Race: Spring",T027516,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027517,T290,4G,TGV,4G,76,S060131FRH,FRHsp_30,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,880,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,"AD: N, Note: 103, Race: Spring",T027517,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027518,T290,4H,TGV,4H,88,S060132FRH,FRHsp_31,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,894,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,"AD: N, Note: 103, Race: Spring",T027518,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027519,T290,5A,TGV,5A,5,S060133FRH,FRHsp_32,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,800,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,"AD: N, Note: 103, Race: Spring",T027519,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027520,T290,5B,TGV,5B,17,S060134FRH,FRHsp_33,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,735,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,"AD: N, Note: 103, Race: Spring",T027520,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027521,T290,5C,TGV,5C,29,S060135FRH,FRHsp_34,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,775,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,"AD: N, Note: 103, Race: Spring",T027521,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027522,T290,5D,TGV,5D,41,S060136FRH,FRHsp_35,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,727,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,"AD: N, Note: 103, Race: Spring",T027522,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027523,T290,5E,TGV,5E,53,S060137FRH,FRHsp_36,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,680,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,"AD: N, Note: 103, Race: Spring",T027523,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027524,T290,5F,TGV,5F,65,S060138FRH,FRHsp_37,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,740,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,,T027524,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027525,T290,5G,TGV,5G,77,S060139FRH,FRHsp_38,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,755,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,,T027525,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027526,T290,5H,TGV,5H,89,S060140FRH,FRHsp_39,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,760,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,,T027526,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027527,T290,6A,TGV,6A,6,S060141FRH,FRHsp_40,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,761,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,,T027527,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027528,T290,6B,TGV,6B,18,S060142FRH,FRHsp_41,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,774,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,,T027528,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027529,T290,6C,TGV,6C,30,S060143FRH,FRHsp_42,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,818,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,,T027529,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027530,T290,6D,TGV,6D,42,S060144FRH,FRHsp_43,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,834,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,,T027530,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027531,T290,6E,TGV,6E,54,S060145FRH,FRHsp_44,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,835,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,,T027531,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027532,T290,6F,TGV,6F,66,S060146FRH,FRHsp_45,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,830,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,,T027532,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027533,T290,6G,TGV,6G,78,S060147FRH,FRHsp_46,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,694,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,,T027533,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T027534,T290,6H,TGV,6H,90,S060148FRH,FRHsp_47,1140,FRH Spring Broodstock 2006,Oncorhynchus,tshawytscha,736,,,,Adult,Spring Run,,,9/25/06,,"MM, SG",12/3/07,,,T027534,California,San Francisco,Sacramento River,,,Feather River,,,,Feather River Hatchery,,
T009507,T100,7A,TGV,9H,19,S040026MIL,MILsp_01,293,CV Chinook BY '04,Oncorhynchus,tshawytscha,725,,Female,,Adult,Spring,,,10/7/04,,CG,6/7/05,,"SamplerNote=LIVER SAMPLE TAKEN , PhysApp=MED",T009507,California,San Francisco ,Sacramento River,,,Mill Creek,,,,,,
T009508,T100,7B,TGV,7B,31,S040027MIL,MILsp_02,293,CV Chinook BY '04,Oncorhynchus,tshawytscha,884,,Female,,Adult,Spring,,,10/7/04,,CG,6/7/05,,"SamplerNote=LIVER SAMPLE TAKEN , PhysApp=BRT",T009508,California,San Francisco ,Sacramento River,,,Mill Creek,,,,,,
T009509,T100,7C,TGV,7C,43,S040028MIL,MILsp_03,293,CV Chinook BY '04,Oncorhynchus,tshawytscha,745,,Female,,Adult,Spring,,,10/7/04,,CG,6/7/05,,"SamplerNote=LIVER SAMPLE TAKEN , PhysApp=MED",T009509,California,San Francisco ,Sacramento River,,,Mill Creek,,,,,,
T009510,T100,7D,TGV,7D,55,S040029MIL,MILsp_04,293,CV Chinook BY '04,Oncorhynchus,tshawytscha,705,,Female,,Adult,Spring,,,10/7/04,,CG,6/7/05,,"SamplerNote=LIVER SAMPLE TAKEN , PhysApp=BRT",T009510,California,San Francisco ,Sacramento River,,,Mill Creek,,,,,,
